Pair,Expiries,24h Maker Vol.,24h Range,24h Taker Vol.,24h Total Vol.,24h Percentage,Monthly Maker Vol.,Monthly Range,Monthly Taker Vol.,Monthly Total Vol.,Monthly Percentage
ADA-USDT-SWAP,All,2213.08000000000016,75%-100%,0,2213.08000000000016,0.000103187726851768,2091964.2440000000682911,60%-70%,3178.5900000000000825,2095142.8340000000683736,0.001345379244344197
ALGO-USDT-SWAP,All,61205.30399999999671968,30%-40%,0,61205.30399999999671968,0.009833270382560837,6711280.80800000029762003,30%-40%,651.94200000000004578,6711932.75000000029766581,0.011028545945550334
ANT-USDT-SWAP,All,50026.293000000002635605,40%-50%,25.909000000000001365,50052.20200000000263697,0.012643180837126556,456526.658999999997427501,50%-60%,131.742000000000006004,456658.400999999997433505,0.003273016267388281
APE-USDT-SWAP,All,1254680.400960000018359096,20%-30%,0,1254680.400960000018359096,0.021769109342699898,123837881.888630002277178354,10%-20%,10621.8719999999994744,123848503.760630002276652754,0.023022852428239928
ATOM-USDT-SWAP,All,253063.1000000000050941,40%-50%,0,253063.1000000000050941,0.008746914167632428,18119680.754000000183876714,20%-30%,494.200999999999972086,18120174.9550000001838488,0.012601339222067891
AVAX-USDT-SWAP,All,173574.128000000003395,50%-60%,0,173574.128000000003395,0.003377357528609924,18015437.8280000004116903,30%-40%,3272.92199999999988336,18018710.75000000041157366,0.010441129481594227
AXS-USDT-SWAP,All,599749.176399999975879842,20%-30%,0,599749.176399999975879842,0.025165652095983855,16742669.977499999929552803,20%-30%,15902.406000000000070507,16758572.38349999992962331,0.015935403391952849
BAT-USDT-SWAP,All,44699.1499999999984055,30%-40%,0,44699.1499999999984055,0.050607962065452329,1397521.86799999997925302,30%-40%,291.01099999999999167,1397812.87899999997924469,0.023000908556299854
BCH-USDT-SWAP,All,331262.463999999992575982,30%-40%,0,331262.463999999992575982,0.016125527872038682,13080843.542999999994989315,20%-30%,2982,13083825.542999999994989315,0.017665279517699225
BSV-USDT-SWAP,All,325371.200000000017381672,10%-20%,744.800000000000039788,326116.00000000001742146,0.092766460889745029,2488008.789999999984150288,30%-40%,1998.920000000000115381,2490007.709999999984265669,0.020595796940038889
BTC-USDT-SWAP,All,8904068.871999999786711416,30%-40%,0,8904068.871999999786711416,0.005263034106665762,310278606.185999998104521465,20%-30%,34649.775000000000654837,310313255.960999998105176302,0.005039986601564895
CRO-USDT-SWAP,All,177952.75339999999820892,10%-20%,0,177952.75339999999820892,0.096861943014624364,3875458.81370000005247038,30%-40%,1112.6699999999999916,3876571.48370000005246198,0.019944917324215056
CRV-USDT-SWAP,All,262976.13440000001791776,40%-50%,0,262976.13440000001791776,0.005982621696938315,10688330.465500000312523176,30%-40%,0,10688330.465500000312523176,0.010118861051301918
CSPR-USDT-SWAP,All,19527.869199999998557054,20%-30%,0,19527.869199999998557054,0.040850677118942769,599915.192199999984101612,40%-50%,94.00999999999999526,600009.202199999984096872,0.02081460475164377
DASH-USDT-SWAP,All,68840.004000000001844193,30%-40%,0,68840.004000000001844193,0.01175731134691463,3996545.45899999997848068,20%-30%,11.690000000000000568,3996557.148999999978481248,0.020269156188331695
DOGE-USDT-SWAP,All,230659.915999999992068,50%-60%,0,230659.915999999992068,0.005475525807867858,51161948.905000002488144,20%-30%,14726.272999999999096,51176675.17800000248724,0.015317295442845607
DOT-USDT-SWAP,All,399398.471999999998944288,30%-40%,0,399398.471999999998944288,0.008946053192286995,7121865.103999999940945432,50%-60%,2898.577999999999924809,7124763.681999999940870241,0.002816678515271318
DYDX-USDT-SWAP,All,123505.992000000005676536,40%-50%,0,123505.992000000005676536,0.009068372487776817,8493317.420999999982626874,30%-40%,1322.8320000000000186,8494640.252999999982645474,0.013900174351595321
EGLD-USDT-SWAP,All,13108.190000000000802011,40%-50%,0,13108.190000000000802011,0.007384998665361687,462703.057000000006710169,50%-60%,2032.960000000000036383,464736.017000000006746552,0.004078818572380861
ELON-USDT-SWAP,All,22408.89014,40%-50%,0,22408.89014,0.100902705814622913,986543.40704,40%-50%,141.08,986684.48704,0.028487138353598803
ENS-USDT-SWAP,All,145411.657599999992298462,50%-60%,0,145411.657599999992298462,0.003407999253898831,8588968.459399999951925612,40%-50%,141.185999999999992836,8589109.645399999951918448,0.003685052621886819
EOS-USDT-SWAP,All,138364.40000000000265896,40%-50%,0,138364.40000000000265896,0.004962113997615686,7640411.6079999998990209,40%-50%,1503.4319999999998884,7641915.0399999998989093,0.006654507728799341
ETC-USDT-SWAP,All,777179.03999999998859696,20%-30%,1626.86999999999997613,778805.90999999998857309,0.014943715282898294,18305817.25999999975417673,20%-30%,3267.51000000000004777,18309084.7699999997542245,0.011462875382416153
ETH-USDT-SWAP,All,8088964.675,30%-40%,0,8088964.675,0.003855553998034373,207874116.748999999740162859,40%-50%,294674.88300000000258479,208168791.631999999742747649,0.002897114250800474
FIL-USDT-SWAP,All,178693.425199999993687737,50%-60%,55.541999999999998038,178748.967199999993685775,0.003960804458845314,4344296.290399999898002684,50%-60%,989.639999999999989902,4345285.930399999897992586,0.002715556003944449
