Pair,Expiries,24h Maker Vol.,24h Range,24h Taker Vol.,24h Total Vol.,24h Percentage,Monthly Maker Vol.,Monthly Range,Monthly Taker Vol.,Monthly Total Vol.,Monthly Percentage
FIL-USDT,Weekly,5530.782399999999653996,40%-50%,0,5530.782399999999653996,0.045928377425413516,272359.71209999999132408,40%-50%,0,272359.71209999999132408,0.056860065511506463
LTC-USDT,Weekly,44416.00000000000363776,40%-50%,0,44416.00000000000363776,0.085481501268866034,1215490.590000000025939013,20%-30%,606.119999999999976126,1216096.710000000025915139,0.08970047530764315
ADA-USDT,BiWeekly,9509.3039999999998528,50%-60%,0,9509.3039999999998528,0.055656382335148215,370923.6290000000012514,20%-30%,0,370923.6290000000012514,0.108194507065347067
BCH-USDT,BiWeekly,7525.440000000000310362,10%-20%,0,7525.440000000000310362,0.130391173520561685,323316.621999999999073947,30%-40%,284,323600.621999999999073947,0.093210984721072955
BTC-USDT,BiWeekly,67594.92999999999665304,50%-60%,0,67594.92999999999665304,0.005922340096817386,4599982.984999999941428629,40%-50%,2299.854000000000087312,4602282.838999999941515941,0.00842795642416598
ETH-USDT,BiWeekly,27086.087999999999874497,60%-70%,0,27086.087999999999874497,0.007894736842105263,2319092.85300000003326215,40%-50%,1693.626000000000021828,2320786.479000000033283978,0.017805689154968503
FIL-USDT,BiWeekly,1917.864799999999880022,40%-50%,0,1917.864799999999880022,0.20556957462148522,115988.383199999996273144,40%-50%,0,115988.383199999996273144,0.100135184659906593
LTC-USDT,BiWeekly,13186.00000000000107996,60%-70%,0,13186.00000000000107996,0.059006211180124224,773789.720000000014466184,40%-50%,202.039999999999992042,773991.760000000014458226,0.086491144465625506
ADA-USDT,Quarterly,34936.3559999999994592,20%-30%,0,34936.3559999999994592,0.064081903497961892,1732131.012000000015804,20%-30%,7940.5600000000002203,1740071.5720000000160243,0.070110352089994754
BCH-USDT,Quarterly,97907.904000000004038038,20%-30%,0,97907.904000000004038038,0.058130076643715559,1923534.855999999991769817,30%-40%,340.8,1923875.655999999991769817,0.05156469166161792
BTC-USDT,Quarterly,2135705.89699999989425073,20%-30%,0,2135705.89699999989425073,0.028922807506318282,59255792.898999999810802007,20%-30%,240176.402999999996063706,59495969.301999999806865713,0.023860992710472527
DOT-USDT,Quarterly,null,null,null,null,null,131593.50599999999919873,60%-70%,8819.829999999999920051,140413.335999999999118781,0.005184583462256766
ETH-USDT,Quarterly,1044580.871999999995160036,20%-30%,0,1044580.871999999995160036,0.029719723241359669,53027543.11700000009152337,20%-30%,122948.790999999999121435,53150491.908000000090644805,0.038958672199431468
FIL-USDT,Quarterly,30070.371199999998118812,40%-50%,0,30070.371199999998118812,0.075356883237286529,803348.889499999979348411,20%-30%,0,803348.889499999979348411,0.051525566736345864
LTC-USDT,Quarterly,28801.00000000000235886,40%-50%,0,28801.00000000000235886,0.013519236407466528,1400398.020000000032766947,40%-50%,404.079999999999984084,1400802.100000000032751031,0.029778262552586936
ADA-USDT,BiQuarterly,19328.6939999999997008,40%-50%,0,19328.6939999999997008,0.049139403494941532,1640743.0510000000065565,10%-20%,14001.0080000000006147,1654744.0590000000071712,0.075916950326110462
BCH-USDT,BiQuarterly,7332.480000000000302446,60%-70%,0,7332.480000000000302446,0.053931308543854669,268600.309999999997081055,40%-50%,56.8,268657.109999999997081055,0.04885740481500741
BTC-USDT,BiQuarterly,461114.978999999977167936,20%-30%,0,461114.978999999977167936,0.02857715284860848,26676426.725999999892482865,20%-30%,329734.53099999999260035,27006161.256999999885083215,0.039924471000223636
DOT-USDT,BiQuarterly,null,null,null,null,null,67602.402999999999289728,75%-100%,18836.241999999999744932,86438.64499999999903466,0.007764280123715436
ETH-USDT,BiQuarterly,406291.319999999998117462,30%-40%,0,406291.319999999998117462,0.06071805702217529,24750150.743999999942185018,10%-20%,285767.470999999999594368,25035918.214999999941779386,0.098575177635742613
FIL-USDT,BiQuarterly,18994.512799999998811709,30%-40%,0,18994.512799999998811709,0.365786917098445596,392523.724299999986388726,30%-40%,608.99999999999999466,393132.724299999986383386,0.171843803711476187
LTC-USDT,BiQuarterly,77589.200000000006354712,10%-20%,0,77589.200000000006354712,0.116860039719870388,2593532.58000000005449893,10%-20%,404.079999999999984084,2593936.660000000054483014,0.101888736396608803
AAVE-USDT-SWAP,All,456672.060999999992241469,20%-30%,0,456672.060999999992241469,0.015832011013572879,7804336.641000000056597182,20%-30%,1720.282000000000030577,7806056.923000000056627759,0.012164174973167571
